date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-11-06,VXZ,59.9,35438.13,3.0,2.995,1.677
2024-11-07,PULS,-8.447,4951.86,1.01,0.422,0.153
2024-11-07,VXZ,8.147,4775.99,3.0,0.407,0.23
2024-11-08,PULS,-0.226,131.59,1.01,0.011,0.061
2024-11-08,VXZ,0.328,190.99,3.0,0.016,0.065
2024-11-11,PULS,-0.092,53.16,1.01,0.005,0.061
2024-11-11,VXZ,-0.008,4.57,3.0,0.0,0.06
2024-11-12,PULS,68.202,39817.98,1.01,3.41,1.237
2024-11-12,VXZ,-67.904,39643.9,3.0,3.395,1.92
2024-11-14,PULS,-36.0,21022.63,1.01,1.8,0.652
2024-11-14,ZVOL,36.0,21022.63,15.0,5.4,3.83
2024-11-15,PULS,-16.554,9584.47,1.01,0.828,0.3
2024-11-15,ZVOL,16.554,9584.47,15.0,2.483,1.774
2024-11-18,PULS,52.592,30818.93,1.01,2.63,0.953
2024-11-18,ZVOL,-52.592,30818.93,15.0,7.889,5.595
2024-11-21,PULS,-36.0,21092.33,1.01,1.8,0.652
2024-11-21,VXZ,35.9,21033.74,3.0,1.795,1.013
2024-11-22,PULS,-0.232,135.64,1.01,0.012,0.061
2024-11-22,VXZ,0.033,18.99,3.0,0.002,0.06
2024-11-25,PULS,-16.353,9502.23,1.01,0.818,0.296
2024-11-25,VXZ,16.455,9561.22,3.0,0.823,0.47
2024-11-26,PULS,-8.099,4695.73,1.01,0.405,0.147
2024-11-26,VXZ,7.999,4637.99,3.0,0.4,0.229
2024-11-27,PULS,60.09,34912.37,1.0,3.004,1.087
2024-11-27,VXZ,-59.791,34738.53,3.0,2.99,1.706
2024-11-29,PULS,-52.0,30208.12,1.0,2.6,0.94
2024-11-29,VXZ,51.9,30150.02,3.0,2.595,1.484
2024-12-02,PULS,-7.899,4599.76,1.01,0.395,0.143
2024-12-02,VXZ,7.699,4483.15,3.0,0.385,0.22
2024-12-03,PULS,-0.024,13.83,1.01,0.001,0.06
2024-12-03,VXZ,0.324,188.51,3.0,0.016,0.065
