date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-05-08,SOXL,-0.022,67.98,1.24,0.001,0.011
2024-05-08,VXZ,-0.006,17.68,3.94,0.0,0.011
2024-05-08,TECL,-0.011,34.21,1.5,0.001,0.011
2024-05-09,PULS,0.013,39.56,1.01,0.001,0.011
2024-05-09,SOXL,-0.037,113.21,1.25,0.002,0.012
2024-05-09,VXZ,-0.006,17.75,3.97,0.0,0.011
2024-05-09,TECL,0.03,93.5,1.5,0.002,0.012
2024-05-10,PULS,-0.037,116.19,1.01,0.002,0.011
2024-05-10,SOXL,0.011,35.72,1.22,0.001,0.011
2024-05-10,VXZ,-0.005,16.03,3.98,0.0,0.011
2024-05-10,TECL,-0.07,220.28,1.5,0.004,0.012
2024-05-13,PULS,-0.024,76.03,1.01,0.001,0.011
2024-05-13,SOXL,0.042,131.07,1.21,0.002,0.011
2024-05-13,VXZ,-0.037,117.06,3.97,0.002,0.012
2024-05-13,TECL,0.019,59.84,1.5,0.001,0.011
2024-05-14,PULS,-0.003,9.31,1.01,0.0,0.011
2024-05-14,SOXL,-0.071,228.34,1.16,0.004,0.011
2024-05-14,VXZ,0.007,23.16,4.03,0.0,0.011
2024-05-14,TECL,-0.036,116.93,1.5,0.002,0.011
2024-05-15,PULS,-9.002,30735.02,1.01,0.45,0.163
2024-05-15,SOXL,-1.671,5704.11,1.06,0.084,0.032
2024-05-15,VXZ,11.678,39871.4,4.12,0.584,0.866
2024-05-15,TECL,-1.011,3450.13,1.5,0.051,0.018
2024-05-16,PULS,12.981,43873.86,1.01,0.649,0.235
2024-05-16,SOXL,-37.253,125904.4,1.08,1.863,0.725
2024-05-16,VXZ,-13.285,44900.56,4.11,0.664,0.982
2024-05-16,TECL,-37.443,126546.64,1.5,1.872,0.577
2024-05-16,UVXY,75.1,253818.86,1.94,3.755,2.624
2024-05-17,PULS,-11.199,37329.17,1.01,0.56,0.203
2024-05-17,SOXL,37.5,124996.47,1.1,1.875,0.743
2024-05-17,VXZ,11.069,36897.18,4.15,0.553,0.826
2024-05-17,TECL,37.5,124996.47,1.5,1.875,0.581
2024-05-17,UVXY,-74.87,249560.95,1.97,3.744,2.658
2024-05-20,PULS,0.04,139.15,1.01,0.002,0.01
2024-05-20,SOXL,0.044,150.73,1.04,0.002,0.01
2024-05-20,VXZ,-0.042,143.95,4.15,0.002,0.011
2024-05-20,TECL,-0.042,145.94,1.5,0.002,0.01
2024-05-21,PULS,-0.007,23.21,1.01,0.0,0.01
2024-05-21,SOXL,-0.035,121.35,1.04,0.002,0.01
2024-05-21,VXZ,0.082,284.42,4.17,0.004,0.012
2024-05-21,TECL,0.059,205.12,1.5,0.003,0.011
2024-05-22,PULS,21.165,74144.87,1.01,1.058,0.384
2024-05-22,SOXL,-1.256,4399.43,1.01,0.063,0.023
2024-05-22,SVIX,37.5,131366.46,4.0,1.875,1.278
2024-05-22,VXZ,-20.093,70387.93,4.13,1.005,1.492
2024-05-22,TECL,-37.317,130723.97,1.5,1.866,0.564
2024-05-23,PULS,-9.203,31970.42,1.01,0.46,0.167
2024-05-23,SOXL,-37.361,129787.97,1.02,1.868,0.689
2024-05-23,SVIX,0.063,220.48,4.0,0.003,0.011
2024-05-23,ZVOL,9.0,31265.4,15.0,1.35,0.915
2024-05-23,TECL,37.5,130272.51,1.5,1.875,0.574
2024-05-24,PULS,0.005,16.38,1.01,0.0,0.01
2024-05-24,SVIX,0.04,139.99,4.0,0.002,0.011
2024-05-24,ZVOL,-0.046,164.49,15.0,0.007,0.013
2024-05-24,TECL,0.002,8.13,1.5,0.0,0.01
2024-05-28,PULS,0.029,102.36,1.01,0.001,0.01
2024-05-28,SVIX,-0.022,78.76,4.0,0.001,0.01
2024-05-28,ZVOL,0.031,108.21,15.0,0.005,0.012
2024-05-28,TECL,-0.037,131.8,1.5,0.002,0.01
2024-05-29,PULS,-0.058,199.36,1.01,0.003,0.01
2024-05-29,SVIX,0.04,137.81,4.0,0.002,0.011
2024-05-29,ZVOL,0.021,72.44,15.0,0.003,0.012
2024-05-29,TECL,-0.003,10.89,1.5,0.0,0.01
2024-05-30,PULS,-4.543,15245.08,1.01,0.227,0.082
2024-05-30,SVIX,-37.541,125973.9,4.0,1.877,1.303
2024-05-30,ZVOL,3.726,12503.53,15.0,0.559,0.379
2024-05-30,TECL,-36.642,122954.87,1.5,1.832,0.578
2024-05-30,SQQQ,75.0,251670.33,4.99,3.75,6.737
2024-05-31,PULS,13.018,43727.37,1.01,0.651,0.236
2024-05-31,SOXL,37.5,125961.89,1.03,1.875,0.695
2024-05-31,ZVOL,-13.161,44207.08,15.0,1.974,1.335
2024-05-31,TECL,37.5,125961.89,1.5,1.875,0.59
2024-05-31,SQQQ,-74.857,251444.08,4.99,3.743,6.724
2024-06-03,PULS,-0.04,134.93,1.01,0.002,0.011
2024-06-03,SOXL,0.01,32.2,1.03,0.0,0.01
2024-06-03,TECL,0.03,102.72,1.5,0.002,0.011
2024-06-04,PULS,0.039,130.32,1.01,0.002,0.011
2024-06-04,SOXL,-0.06,200.22,1.05,0.003,0.011
2024-06-04,TECL,-0.079,264.88,1.5,0.004,0.011
2024-06-05,PULS,-11.452,41053.56,1.01,0.573,0.208
2024-06-05,SOXL,-38.668,138621.47,1.0,1.933,0.663
2024-06-05,SVIX,37.5,134435.4,4.0,1.875,1.276
2024-06-05,VXZ,13.0,46604.27,4.12,0.65,0.964
2024-06-05,TECL,-0.381,1364.64,1.5,0.019,0.013
2024-06-06,PULS,-0.004,15.26,1.01,0.0,0.01
2024-06-06,SVIX,-0.057,202.99,4.0,0.003,0.011
2024-06-06,VXZ,0.002,5.82,4.09,0.0,0.01
2024-06-06,TECL,0.059,212.43,1.5,0.003,0.01
2024-06-07,PULS,13.059,47018.54,1.01,0.653,0.237
2024-06-07,SOXL,37.5,135013.07,1.0,1.875,0.657
2024-06-07,SVIX,-37.811,136132.0,4.0,1.891,1.279
2024-06-07,VXZ,-13.014,46854.19,4.1,0.651,0.959
2024-06-07,TECL,0.265,954.58,1.5,0.013,0.012
2024-06-10,PULS,-12.574,46063.51,1.01,0.629,0.228
2024-06-10,SOXL,-0.828,3033.46,1.0,0.041,0.014
