date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2022-03-14,TMF,50.0,44204.44,2.56,2.5,2.301
2022-03-14,LABD,-1.915,1693.42,3.0,0.096,0.068
2022-03-14,TMV,-0.48,423.97,2.0,0.024,0.044
2022-03-14,BIL,-47.605,42087.05,0.55,2.38,0.469
2022-03-15,TMF,-50.344,43797.72,2.58,2.517,2.336
2022-03-15,LABD,-24.173,21030.08,3.0,1.209,0.679
2022-03-15,TMV,-25.483,22169.69,2.0,1.274,0.48
2022-03-15,BIL,100.0,86997.49,0.55,5.0,0.985
2022-03-16,LABD,25.0,21748.53,3.0,1.25,0.758
2022-03-16,BIL,-25.0,21748.53,0.55,1.25,0.246
2022-03-17,LABD,2.351,1982.72,3.0,0.118,0.077
2022-03-17,BIL,-2.351,1982.72,0.55,0.118,0.048
2022-03-18,LABD,1.637,1350.86,3.0,0.082,0.067
2022-03-18,TMV,25.0,20629.24,2.0,1.25,0.48
2022-03-18,BIL,-26.637,21980.1,0.55,1.332,0.262
2022-03-21,UVXY,50.0,43072.94,3.31,2.5,2.982
2022-03-21,LABD,-1.503,1295.01,3.0,0.075,0.063
2022-03-21,TMV,-0.628,541.0,2.0,0.031,0.047
2022-03-21,BIL,-47.869,41236.94,0.55,2.393,0.471
2022-03-22,UVXY,-50.326,41994.28,3.4,2.516,3.077
2022-03-22,LABD,1.998,1667.51,3.0,0.1,0.072
2022-03-22,TMV,-1.672,1395.13,2.0,0.084,0.059
2022-03-22,BIL,50.0,41721.9,0.55,2.5,0.492
2022-03-23,LABD,-1.649,1376.58,3.0,0.082,0.067
2022-03-23,TMV,1.648,1375.65,2.0,0.082,0.058
2022-03-23,BIL,0.001,0.92,0.55,0.0,0.042
2022-03-24,LABD,1.27,1051.71,3.0,0.064,0.061
2022-03-24,TMV,-0.863,714.07,2.0,0.043,0.051
2022-03-24,BIL,-0.408,337.64,0.55,0.02,0.043
2022-03-25,LABD,-1.078,917.66,3.0,0.054,0.057
2022-03-25,TMV,-0.301,256.39,2.0,0.015,0.044
2022-03-25,BIL,1.379,1174.05,0.55,0.069,0.045
2022-03-28,LABD,-0.048,40.53,3.0,0.002,0.042
2022-03-28,TMV,0.464,391.6,2.0,0.023,0.046
2022-03-28,BIL,-0.416,351.07,0.55,0.021,0.043
2022-03-29,LABD,2.331,1893.18,3.0,0.117,0.083
2022-03-29,TMV,-25.387,20622.31,2.0,1.269,0.476
2022-03-29,BIL,23.056,18729.13,0.55,1.153,0.227
2022-03-30,LABD,-1.675,1391.5,3.0,0.084,0.067
2022-03-30,TMV,25.0,20771.01,2.0,1.25,0.474
2022-03-30,BIL,-23.325,19379.51,0.55,1.166,0.23
2022-03-31,LABD,-0.489,407.03,3.0,0.024,0.049
2022-03-31,TMV,-24.638,20517.08,2.0,1.232,0.469
2022-03-31,BIL,25.127,20924.1,0.55,1.256,0.247
2022-04-01,LABD,2.246,1815.92,3.0,0.112,0.081
2022-04-01,BIL,-2.246,1815.92,0.55,0.112,0.049
2022-04-04,LABD,1.636,1293.87,3.0,0.082,0.069
2022-04-04,TMV,25.0,19773.48,2.0,1.25,0.474
2022-04-04,BIL,-26.636,21067.35,0.55,1.332,0.262
2022-04-05,LABD,-1.27,1044.89,3.0,0.063,0.062
2022-04-05,TMV,-0.688,566.19,2.0,0.034,0.049
2022-04-05,BIL,1.957,1611.08,0.55,0.098,0.048
2022-04-06,LABD,0.304,251.45,3.0,0.015,0.047
2022-04-06,TMV,-0.506,417.96,2.0,0.025,0.047
2022-04-06,BIL,0.201,166.51,0.55,0.01,0.043
2022-04-07,LABD,-0.516,432.91,3.0,0.026,0.049
2022-04-07,TMV,-0.214,179.49,2.0,0.011,0.044
2022-04-07,BIL,0.73,612.4,0.55,0.037,0.044
2022-04-08,LABD,-0.956,820.59,3.0,0.048,0.055
