date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2023-10-27,VBF,100.0,104731.74,3.62,5.0,6.512
2023-10-27,QLD,-100.0,104731.74,1.0,5.0,1.689
2023-10-31,VBF,-100.0,104850.34,3.61,5.0,6.498
2023-10-31,TLT,100.0,104850.34,0.6,5.0,1.077
2023-11-02,TLT,-100.0,109453.93,0.57,5.0,1.034
2023-11-02,UDOW,100.0,109453.93,1.5,5.0,1.941
2023-11-07,TQQQ,100.0,112206.18,1.28,5.0,2.303
2023-11-07,UDOW,-100.0,112206.18,1.5,5.0,1.911
2023-11-15,TQQQ,-100.0,123506.18,1.16,5.0,2.09
2023-11-15,UDOW,100.0,123506.18,1.5,5.0,1.83
2023-11-16,SSO,100.0,123030.77,1.0,5.0,1.611
2023-11-16,UDOW,-100.0,123030.77,1.5,5.0,1.833
2023-11-20,TQQQ,100.0,125067.59,1.12,5.0,2.013
2023-11-20,SSO,-100.0,125067.59,1.0,5.0,1.592
2023-11-21,TQQQ,-100.0,122674.77,1.14,5.0,2.051
2023-11-21,SSO,100.0,122674.77,1.0,5.0,1.597
2023-11-24,SSO,-100.0,123541.28,1.0,5.0,1.588
2023-11-24,UDOW,100.0,123541.28,1.5,5.0,1.796
2023-12-18,UVXY,100.0,144162.28,5.55,5.549,9.989
2023-12-18,UDOW,-100.0,144162.28,1.5,5.0,1.645
2023-12-20,UVXY,-100.0,160318.51,4.99,5.0,8.973
2023-12-20,UDOW,100.0,160318.51,1.5,5.0,1.664
2023-12-22,TNA,100.0,163982.83,1.25,5.0,2.249
2023-12-22,UDOW,-100.0,163982.83,1.5,5.0,1.643
2023-12-28,TNA,-100.0,169464.84,1.21,5.0,2.174
2023-12-28,UDOW,100.0,169464.84,1.5,5.0,1.622
2024-01-12,SSO,100.0,166723.18,1.0,5.0,1.497
2024-01-12,UDOW,-100.0,166723.18,1.5,5.0,1.636
2024-01-16,TQQQ,100.0,165300.38,0.99,5.0,1.789
2024-01-16,SSO,-100.0,165300.38,1.0,5.0,1.504
2024-01-17,TQQQ,-100.0,162274.82,1.01,5.0,1.82
2024-01-17,TLT,100.0,162274.82,0.53,5.0,0.951
2024-01-18,TQQQ,100.0,160601.84,0.97,5.0,1.746
2024-01-18,TLT,-100.0,160601.84,0.53,5.0,0.96
2024-01-26,TQQQ,-100.0,172509.99,0.9,5.0,1.623
2024-01-26,SSO,100.0,172509.99,1.0,5.0,1.456
2024-01-31,SSO,-100.0,168963.25,1.0,5.0,1.475
2024-01-31,UDOW,100.0,168963.25,1.5,5.0,1.603
2024-02-05,SSO,100.0,171358.47,1.0,5.0,1.438
2024-02-05,UDOW,-100.0,171358.47,1.5,5.0,1.59
2024-03-08,SSO,-100.0,183436.43,1.0,5.0,1.375
2024-03-08,TNA,100.0,183436.43,1.22,5.0,2.197
2024-03-11,SSO,100.0,179132.41,1.0,5.0,1.377
2024-03-11,TNA,-100.0,179132.41,1.25,5.0,2.248
2024-03-21,SSO,-100.0,187263.01,1.0,5.0,1.34
2024-03-21,UDOW,100.0,187263.01,1.5,5.0,1.511
2024-03-22,SSO,100.0,182645.13,1.0,5.0,1.343
2024-03-22,UDOW,-100.0,182645.13,1.5,5.0,1.53
2024-04-04,SSO,-100.0,176163.64,1.0,5.0,1.373
2024-04-04,TNA,100.0,176163.64,1.29,5.0,2.318
2024-04-05,SSO,100.0,177977.63,1.0,5.0,1.355
2024-04-05,TNA,-100.0,177977.63,1.27,5.0,2.292
2024-04-09,VBF,100.0,178286.2,3.22,5.0,5.792
2024-04-09,SSO,-100.0,178286.2,1.0,5.0,1.353
2024-04-10,VBF,-100.0,176039.03,3.26,5.0,5.859
2024-04-10,SPAB,100.0,176039.03,2.02,5.0,3.641
2024-04-11,TQQQ,100.0,175786.89,0.81,5.0,1.459
2024-04-11,SPAB,-100.0,175786.89,2.02,5.0,3.642
2024-04-12,VBF,100.0,167124.82,3.27,5.0,5.882
2024-04-12,TQQQ,-100.0,167124.82,0.85,5.0,1.533
2024-04-17,VBF,-100.0,166349.33,3.29,5.0,5.929
2024-04-17,ANGL,100.0,166349.33,1.78,5.0,3.198
2024-04-18,LABU,100.0,166355.42,3.0,5.0,2.238
2024-04-18,ANGL,-100.0,166355.42,1.77,5.0,3.195
2024-04-19,LABU,-100.0,162428.81,3.0,5.0,2.255
2024-04-19,TECL,100.0,162428.81,1.5,5.0,1.793
2024-04-22,TECL,-100.0,166426.36,1.5,5.0,1.766
2024-04-22,TLT,100.0,166426.36,0.56,5.0,1.011
2024-04-29,VBF,100.0,166218.69,3.29,5.0,5.917
2024-04-29,TLT,-100.0,166218.69,0.56,5.0,1.011
2024-04-30,VBF,-100.0,165937.69,3.29,5.0,5.921
2024-04-30,TLT,100.0,165937.69,0.57,5.0,1.02
2024-05-02,VBF,100.0,167705.76,3.29,5.0,5.917
2024-05-02,TLT,-100.0,167705.76,0.56,5.0,1.012
2024-05-03,VBF,-100.0,168854.08,3.26,5.0,5.871
2024-05-03,TNA,100.0,168854.08,1.35,5.0,2.43
2024-05-08,TNA,-100.0,173555.02,1.31,5.0,2.362
2024-05-08,UDOW,100.0,173555.02,1.5,5.0,1.57
2024-05-15,SSO,100.0,184972.02,1.0,5.0,1.326
2024-05-15,UDOW,-100.0,184972.02,1.5,5.0,1.519
2024-05-16,SSO,-100.0,183913.28,1.0,5.0,1.33
2024-05-16,UDOW,100.0,183913.28,1.5,5.0,1.52
2024-05-20,SSO,100.0,182984.67,1.0,5.0,1.326
2024-05-20,UDOW,-100.0,182984.67,1.5,5.0,1.523
2024-05-22,TQQQ,100.0,182495.05,0.77,5.0,1.395
2024-05-22,SSO,-100.0,182495.05,1.0,5.0,1.327
2024-05-31,TQQQ,-100.0,176657.33,0.8,5.0,1.439
2024-05-31,SSO,100.0,176657.33,1.0,5.0,1.337
2024-06-04,TQQQ,100.0,177089.64,0.79,5.0,1.415
2024-06-04,SSO,-100.0,177089.64,1.0,5.0,1.334
2024-06-12,TQQQ,-100.0,200130.45,0.69,5.0,1.251
2024-06-12,UVXY,100.0,200130.45,2.12,5.0,3.815
2024-06-20,SSO,100.0,215689.35,1.0,5.0,1.281
2024-06-20,UVXY,-100.0,215689.35,1.96,5.0,3.536
2024-06-24,SSO,-100.0,213294.34,1.0,5.0,1.289
2024-06-24,UDOW,100.0,213294.34,1.5,5.0,1.554
2024-06-25,SSO,100.0,208249.73,1.0,5.0,1.282
2024-06-25,UDOW,-100.0,208249.73,1.5,5.0,1.573
2024-07-08,TQQQ,100.0,215516.71,0.61,5.0,1.095
2024-07-08,SSO,-100.0,215516.71,1.0,5.0,1.257
2024-07-09,TQQQ,-100.0,215767.32,0.61,5.0,1.093
2024-07-09,SSO,100.0,215767.32,1.0,5.0,1.255
2024-07-10,SSO,-100.0,219780.03,1.0,5.0,1.241
2024-07-10,UVXY,100.0,219780.03,2.33,5.0,4.188
2024-07-11,UVXY,-100.0,220576.99,2.32,5.0,4.169
2024-07-11,TNA,100.0,220576.99,1.22,5.0,2.203
2024-07-17,TNA,-100.0,256923.36,1.05,5.0,1.89
2024-07-17,UDOW,100.0,256923.36,1.5,5.0,1.464
2024-07-19,TNA,100.0,239953.12,1.14,5.0,2.043
2024-07-19,UDOW,-100.0,239953.12,1.5,5.0,1.513
2024-07-23,TLT,100.0,259025.39,0.54,5.0,0.973
